ID	怪物	游戏内名称	Appr	文件名	起始帧	Race	Img	方向数量	出现	待机	走	攻击	受伤	死亡	图片	音效	怪物显示后问题	state	原来的图	适合技能	施法动作描述																	
295	熔岩石妖		295	mon15	5950	51	60	8	0	4	8	6	2	10		有	原怪物放大	完成																				
296	骷髅战士		296	mon15	6300	51	60	8	0	4	8	6	2	10		有	原怪物放大	完成																				
297	白骨尸魔		297	mon15	6650	51	61	8	0	4	8	8	2	10		有	原怪物放大	完成																				
300	雪域狂狮		300	mon16	0	51	61	8	0	4	8	8	2	10				完成																				
301	雪域魔蝎		301	mon16	350	51	61	8	0	4	8	8	2	10				完成																				
302	雪域猪魔		302	mon16	700	66	42	8	0	4	8	6	2	10				完成																				
303	高老千		303	mon16	1050	51	22	8	0	10	8	10	2	10				完成																				
304	马大富		304	mon16	1400	51	22	8	0	10	8	10	2	10				完成																				
305	程有财		305	mon16	1750	51	22	8	0	10	8	10	2	10				完成																				
306	火龙神		306	mon16	2100			1	0	10	0	6	2	10				完成	只有一个方向的图，每个动作都在一方向有图，之后都是空白针，特殊动作在死亡的第三方想，2380-2389共10帧。对应特效，随后配上。	火殒技能特效帧数为2400-2415，共16帧，显示模式addsmooth，播放速度120																		
307	财神树		307	mon16	2450			1	0	10	0	6	2	10			共6帧，无方向性	动作放在死亡的第三个方向第一帧开始																				
308	雪域魔王		308	mon16	2800	51	61	8	0	4	8	8		0				完成																				
310	远古巨人		310	mon16	3500	51	61	8	0	4	8	8	2	10				完成																				
312	护卫		312	mon16	4200	51	61	8		4	8	8	2	10				完成																				
313	宝宝1		313	mon16	4550	51	61	8		4	8	8	2	10				完成	对应looks=1469																			
314	宝宝2		314	mon16	4900	51	61	8		4	8	8	2	10				完成	对应looks=1470																			
315	宝宝3		315	mon16	5250	51	61	8		4	8	8	2	10				完成	对应looks=1471																			
241	宝宝4		316	mon16	5600	51	61	8		4	8	8	2	10				完成	对应looks=1472																			
242	宝宝类型5		317		5950	51	61	8		4	8	8	2	10				完成																				
243	宝宝类型6		318		6300	51	61	8		4	8	8	2	10				完成																				
