显示名	怪物ID	编辑器目录	声音形象	type	名称颜色	头像	存在时间	死亡后复活时间	等级	动画	大小	积分	exp	金钱	金币掉率	技能间隔时间	默认技能	概率型技能	技能概率	第二技能	移动速度	MHP	最小攻击	最大攻击	物防	魔防	回血	命中率	闪避率	暴击率	抵抗暴击	火系抵抗	冰系抵抗	电系抵抗	巡逻半径	视野范围	攻击几率	追击距离	地图	掉落组	掉落几率	任务掉落	任务掉落几率	功能ID	功能参数	功能数据	默认对话																																																																																																																																																																																																																				
魔王	1556	经验副本(85-88)	155	3	0	1132	0	2000	36	155	1	0	24000	24000	1	1500	pk		0	0	100	4300	220	320	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
利刃邪骷	1156	经验副本(89-94)	115	3	0	1092	0	2000	35	115	1	0	4000	4000	1	1500	pk		0	0	100	3200	170	278	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
石墓兵俑	1066	经验副本(89-94)	106	3	0	1083	0	2000	35	106	1	0	8800	8800	1	1500	pk		0	0	80	3600	180	288	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
护林勇士	1187	经验副本(89-94)	118	3	0	1095	0	2000	85	118	1	0	9800	9800	1	1500	pk		0	0	150	4200	200	308	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
魔王	1557	经验副本(89-94)	155	3	0	1132	0	2000	36	155	1	0	32000	32000	1	1500	pk		0	0	100	4700	240	338	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
利刃邪骷	1157	经验副本(95-98)	115	3	0	1092	0	2000	35	115	1	0	6000	6000	1	1500	pk		0	0	100	3600	190	296	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
石墓兵俑	1067	经验副本(95-98)	106	3	0	1083	0	2000	35	106	1	0	13200	13200	1	1500	pk		0	0	80	4000	200	306	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
护林勇士	1188	经验副本(95-98)	118	3	0	1095	0	2000	85	118	1	0	14700	14700	1	1500	pk		0	0	150	4600	220	326	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
魔王	1558	经验副本(95-98)	155	3	0	1132	0	2000	36	155	1	0	48000	48000	1	1500	pk		0	0	100	5100	260	356	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
利刃邪骷	1158	经验副本(99-100)	115	3	0	1092	0	2000	35	115	1	0	8000	8000	1	1500	pk		0	0	100	4000	210	314	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
石墓兵俑	1068	经验副本(99-100)	106	3	0	1083	0	2000	35	106	1	0	17600	17600	1	1500	pk		0	0	80	4400	220	324	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
护林勇士	1189	经验副本(99-100)	118	3	0	1095	0	2000	85	118	1	0	19600	19600	1	1500	pk		0	0	150	5000	240	344	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
魔王	1559	经验副本(99-100)	155	3	0	1132	0	2000	36	155	1	0	64000	64000	1	1500	pk		0	0	100	5500	280	374	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	201		0		0																																																																																																																																																																																																																								
金甲牛魔王	150	BOSS副本	150	3	0	1127	0	2000	32	150	1	50	252	252	1	1500	pk		0	0	150	3500	90	150	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	203		0		0																																																																																																																																																																																																																								
白猪	164	BOSS副本	164	4	0	1141	0	2000	30	164	1	50	252	142	1	1500	pk		0	0	150	2000	80	120	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	203	lev10,lev18,lev20,lev21,lev23	0.12,0.1,0.1,1,0.5		0																																																																																																																																																																																																																								
骷髅王	191	BOSS副本	191	3	0	1157	0	2000	35	191	1	50	252	158	1	1500	pk		0	0	120	4500	100	160	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	203	lev11,lev17,lev19,lev21,lev23	0.12,0.1,0.1,1,0.5		0																																																																																																																																																																																																																								
深渊教主	224	BOSS副本	224	4	0	1183	0	60000	35	224	1	50	252	184	1	1500	pk	jt	0.2	0	130	8000	150	280	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	203	lev14,lev18,lev20,lev21,lev23	0.12,0.1,0.1,1,0.5		0																																																																																																																																																																																																																								
火龙神	306	BOSS副本	306	3	0	1227	0	2000	40	306	1	50	252	228	1	1500	bys03		0	0	0	20000	240	450	0	0	0	2	0	0	0	0	0	0	0	200	0.2	300	203	lev14,lev18,lev20,lev21,lev23	0.12,0.1,0.1,1,0.5		0																																																																																																																																																																																																																								
宝宝1	313	精英怪	313	3	0	1232	0	2000	52	313	1	0	252	233	1	1500	pk		0	0	150	5000	50	100	0	129	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
宝宝2	314	精英怪	314	3	0	1233	0	2000	52	314	1	0	252	234	1	1500	pk		0	0	150	5000	50	100	0	129	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
宝宝3	315	精英怪	315	3	0	1234	0	2000	52	315	1	0	252	235	1	1500	pk		0	0	150	5000	50	100	0	129	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
魔猿战将	119	精英怪	119	3	0	1096	0	2000	79	119	1	0	2880	97	1	1500	pk		0	0	150	15	2996	4192	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
老虎战士	380	精英怪	380	3	0	1047	0	2000	27	380	1	0	54	48	1	1500	pk		0	0	70	490	18	63	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
万年亡魂	204	神灯居	204	4	0	1170	0	1800000	52	204	1	0	252	171	1	1500	pk		0	0	150	5000	50	100	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	204	lev24	1		0																																																																																																																																																																																																																								
亡魂守卫	381	神灯居	381	3	0	1047	0	300000	27	381	1	0	54	48	1	1500	pk		0	0	70	490	18	63	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	204	lev25	0.1		0																																																																																																																																																																																																																								
圣地树灵神	201	劫杀圣地怪物	201	3	0	1167	0	3600000	16	201	1	0	32	168	1	1500	pk		0	0	0	330	12	42	0	0	0	2	0	0	0	0	0	0	0	0	0.2	0			0		0																																																																																																																																																																																																																								
圣地恶魔	50	劫杀圣地怪物	50	3	0	1049	0	3600000	145	50	1	0	110000	50	1	1500	emdc		0	0	0	15	100	200	0	0	0	2	0	0	0	0	0	0	0	200	0.2	0			0		0																																																																																																																																																																																																																								
圣地血魔	180	劫杀圣地怪物	180	3	0	1147	0	3600000	52	180	1	0	252	148	1	1500	pk		0	0	150	15	23	47	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
圣地尸王	225	劫杀圣地怪物	225	3	0	1184	0	3600000	37	225	1	0	73	73	1	1500	pk		0	0	120	1060	23	83	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
圣地主教	211	劫杀圣地怪物	211	3	0	1176	0	3600000	52	211	1	0	252	177	1	1500	pk		0	0	150	15	50	100	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
圣地蚁后	2131	劫杀圣地怪物	213	3	0	1178	0	3600000	52	213	1	0	252	179	1	1500	pk		0	0	150	15	50	100	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	122		0		0																																																																																																																																																																																																																								
圣地盗贼	333	劫杀圣地怪物	333	3	0	1246	0	3600000	60	333	1	0	252	237	1	1500	pk		0	0	150	5000	50	100	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
圣地金刚	350	劫杀圣地怪物	350	4	0	1263	0	3600000	60	350	1	0	252	237	1	1500	pk		0	0	150	5000	50	100	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
圣地石魔	372	劫杀圣地怪物	372	3	0	1088	0	3600000	40	372	1	0	180	180	1	1500	pk		0	0	150	570	24	89	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
圣地邪魔	387	劫杀圣地怪物	387	3	0	1047	0	3600000	27	387	1	0	54	48	1	1500	pk		0	0	70	490	18	63	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
兽人战士	385	试练之地一层怪物	385	3	0	1047	0	2000	27	385	1	0	180	180	1	1500	pk		0	0	70	490	18	63	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	206		0		0																																																																																																																																																																																																																								
火龙守护者	382	试练之地一层怪物	382	3	0	1047	0	2000	27	382	1	0	54	48	1	1500	pk		0	0	70	490	18	63	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	206		0		0																																																																																																																																																																																																																								
沼泽蛮龙	358	试练之地一层怪物	358	4	0	1271	0	2000	60	358	1	0	252	237	1	1500	pk		0	0	150	5000	50	100	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	206		0		0																																																																																																																																																																																																																								
祭灵主	288	试练之地一层怪物	288	3	0	1211	0	2000	52	288	1	0	252	212	1	1500	gwlds		0	0	150	15	50	100	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	206		0		0																																																																																																																																																																																																																								
影刃统帅	357	试练之地二层怪物	357	4	0	1270	0	2000	60	357	1	0	252	237	1	1500	pk		0	0	150	5000	50	100	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	207		0		0																																																																																																																																																																																																																								
魔域死士	157	试练之地二层怪物	157	3	0	1134	0	2000	52	157	1	0	252	135	1	1500	pk		0	0	150	15	2996	4192	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	207		0		0																																																																																																																																																																																																																								
老虎战士	3801	试练之地二层怪物	380	3	0	1047	0	2000	27	380	1	0	54	48	1	1500	pk		0	0	70	490	18	63	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	207		0		0																																																																																																																																																																																																																								
花王	221	试练之地二层怪物	221	3	0	1180	0	2000	52	221	1	0	252	181	1	1500	pk		0	0	150	15	50	100	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	207		0		0																																																																																																																																																																																																																								
兽人巡逻兵	348	试练之地三层怪物	348	3	0	1261	0	2000	60	348	1	0	252	237	1	1500	pk		0	0	150	5000	50	100	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	208		0		0																																																																																																																																																																																																																								
雪域野人	354	试练之地三层怪物	354	3	0	1267	0	2000	60	354	1	0	252	237	1	1500	pk		0	0	150	5000	50	100	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	208		0		0																																																																																																																																																																																																																								
总坛教主	361	试练之地三层怪物	361	4	0	1274	0	2000	60	361	1	0	252	237	1	1500	pk		0	0	150	5000	50	100	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	208		0		0																																																																																																																																																																																																																								
巨拳红猿	383	试练之地三层怪物	383	3	0	1047	0	2000	27	383	1	0	54	48	1	1500	pk		0	0	70	490	18	63	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	208		0		0																																																																																																																																																																																																																								
总坛教主	3611	劫杀宫殿1怪物	361	4	0	1274	0	3600000	60	361	1	0	252	237	1	1500	pk		0	0	150	5000	50	100	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	208		0		0																																																																																																																																																																																																																								
雪域魔王	308	劫杀宫殿1怪物	308	3	0	1229	0	3600000	52	308	1	0	252	230	1	1500	pk		0	0	150	15	50	100	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
火龙神	3061	劫杀宫殿1怪物	306	3	0	1227	0	3600000	40	306	1	0	252	228	1	1500	bys03		0	0	0	3000	50	100	0	0	0	2	0	0	0	0	0	0	0	200	0.2	300	203		0		0																																																																																																																																																																																																																								
火龙神	3062	劫杀宫殿2怪物	306	3	0	1227	0	3600000	40	306	1	0	252	228	1	1500	bys03		0	0	0	3000	50	100	0	0	0	2	0	0	0	0	0	0	0	200	0.2	300	203		0		0																																																																																																																																																																																																																								
魔域噬魔神	343	劫杀宫殿2怪物	343	4	0	1256	0	3600000	60	343	1	0	252	237	1	1500	pk		0	0	150	5000	50	100	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
兽人统帅	347	劫杀宫殿2怪物	347	3	0	1260	0	3600000	60	347	1	0	252	237	1	1500	pk		0	0	150	5000	50	100	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
皇宫墙壁右	320	沙巴克怪物	320	3	0	1238	0	0	52	320	1	0	0	0	1	1500			0	0	0	9999	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14		0		0																																																																																																																																																																																																																								
皇宫墙壁左上	321	沙巴克怪物	321	3	0	1239	0	0	52	321	1	0	0	0	1	1500			0	0	0	9999	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14		0		0																																																																																																																																																																																																																								
皇宫墙壁左下	322	沙巴克怪物	322	3	0	1240	0	0	52	322	1	0	0	0	1	1500			0	0	0	9999	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14		0		0																																																																																																																																																																																																																								
弓箭手守卫	323	沙巴克怪物	23001	3	0	1064	0	2000	50	23001	1	0	1	65	1	500	sj		0	0	0	9999	200	600	0	0	0	2	0	0	0	0	0	0	0	200	0.2	0	14		0		0																																																																																																																																																																																																																								
弓箭手守卫	324	沙巴克怪物	23001	3	0	1064	0	2000	60	23001	1	0	1	65	1	500	sj		0	0	0	9999	300	700	0	0	0	2	0	0	0	0	0	0	0	200	0.2	0	14		0		0																																																																																																																																																																																																																								
弓箭手守卫	325	沙巴克怪物	23001	3	0	1064	0	2000	70	23001	1	0	1	65	1	500	sj		0	0	0	9999	400	800	0	0	0	2	0	0	0	0	0	0	0	200	0.2	0	14		0		0																																																																																																																																																																																																																								
弓箭手守卫	326	沙巴克怪物	23001	3	0	1064	0	2000	80	23001	1	0	1	65	1	500	sj		0	0	0	9999	500	900	0	0	0	2	0	0	0	0	0	0	0	200	0.2	0	14		0		0																																																																																																																																																																																																																								
弓箭手守卫	327	沙巴克怪物	23001	3	0	1064	0	2000	90	23001	1	0	1	65	1	500	sj		0	0	0	9999	600	1000	0	0	0	2	0	0	0	0	0	0	0	200	0.2	0	14		0		0																																																																																																																																																																																																																								
沙巴克城主	374	沙巴克怪物	374	3	0	1047	0	2000	27	11028,50009,41026	1	0	54	48	1	500	pk		0	0	150	1000	18	63	0	0	0	2	0	0	0	0	0	0	150	350	0.2	300			0		0																																																																																																																																																																																																																								
城主夫人	375	沙巴克怪物	375	3	0	1047	0	2000	27	11029,50008,41027	1	0	54	48	1	500	pk		0	0	150	1000	18	63	0	0	0	2	0	0	0	0	0	0	150	350	0.2	300			0		0																																																																																																																																																																																																																								
沙巴克护法	376	沙巴克怪物	376	3	0	1047	0	2000	27	13020,50006,43356	1	0	54	48	1	500	lds01		0	mfd03	150	1000	18	63	0	0	0	2	0	0	0	0	0	0	150	350	0.2	300			0		0																																																																																																																																																																																																																								
沙巴克护法	377	沙巴克怪物	377	3	0	1047	0	2000	27	13021,50006,43357	1	0	54	48	1	1000	lds01		0	mfd03	150	1000	18	63	0	0	0	2	0	0	0	0	0	0	150	350	0.2	300			0		0																																																																																																																																																																																																																								
沙巴克堂主	378	沙巴克怪物	378	3	0	1047	0	2000	27	16020,50007,46689	1	0	54	48	1	500	hlf01		0	sds01	150	1000	18	63	0	0	0	2	0	0	0	0	0	0	150	350	0.2	300			0		0																																																																																																																																																																																																																								
沙巴克堂主	379	沙巴克怪物	379	3	0	1047	0	2000	27	16021,50007,46690	1	0	54	48	1	500	hlf01		0	sds01	150	1000	18	63	0	0	0	2	0	0	0	0	0	0	150	350	0.2	300			0		0																																																																																																																																																																																																																								
帮会守护兽	291	帮会副本NPC	291	4	0	1214	0	2000	52	291	1	0	0	0	1	1500	pk	xmph	0.3	0	0	5000	50	100	0	0	0	2	0	0	0	0	0	0	0	200	1	0			0		0																																																																																																																																																																																																																								
西域良马	3		3	3	0	1002	0	2000	3	3	1	0	320	3	1	1500	pk		0	0	150	15	60	115	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
召唤骷髅	4		4	3	0	1003	0	2000	4	4	1	0	4	4	1	1500	pk		0	0	150	15	1	1	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
盔甲蚂蚁(旧)	5		5	3	0	1004	0	2000	5	5	1	0	570	570	1	1500	pk		0	0	150	15	3930	5659	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
半兽督军	6		6	3	0	1005	0	2000	20	6	1	0	120	6	1	1500	pk		0	0	150	15	70	170	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
半兽人战士	7		7	3	0	1006	0	2000	25	7	1	0	300	7	1	1500	pk		0	0	150	15	125	300	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
半兽人勇士	8		8	3	0	1007	0	2000	30	8	1	0	2400	8	1	1500	pk		0	0	150	15	125	400	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
毒蜂	10		10	3	0	1009	0	2000	6	10	1	0	18	10	1	1500	pk		0	0	100	110	7	27	0	0	0	2	0	0	0	0	0	0	150	200	0	300			0		0																																																																																																																																																																																																																								
大尾蝎	11		11	3	0	1010	0	2000	50	11	1	0	228	11	1	1500	pk		0	0	150	15	50	100	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
黄金蟒	12		12	3	0	1011	0	2000	15	12	1	0	28	12	1	1500	pk		0	0	120	220	12	41	0	0	0	2	0	0	0	0	0	0	150	200	0.1	300			0		0																																																																																																																																																																																																																								
赌圣	13		13	3	0	1012	0	2000	100	13	1	0	15000	13	1	1500	pk		0	0	150	15	2354	2707	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
半兽人	17		17	3	0	1016	0	2000	24	17	1	0	51	17	1	1500	pk		0	0	80	450	16	57	0	0	0	2	0	0	0	0	0	0	150	200	0	300			0		0																																																																																																																																																																																																																								
多牙猪	18		18	3	0	1017	0	2000	39	18	1	0	165	165	1	1500	pk		0	0	150	560	24	87	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	111		0		0																																																																																																																																																																																																																								
魔枪骷	19		19	3	0	1018	0	2000	45	19	1	0	16200	19	1	1500	pk		0	0	150	15	100	250	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
钢铁魔骷	20		20	4	0	1019	0	120000	30	20	1	50	16991	20	1	1500	pk		0	0	150	3000	100	200	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
不死铁卫	21		21	3	0	1020	0	2000	30	21	1	0	480	21	1	1500	pk		0	0	150	15	43	95	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
狂斧骷	24		24	3	0	1023	0	2000	45	24	1	0	13200	24	1	1500	pk		0	0	150	15	100	255	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
恶霸金虎	188		188	3	0	1154	0	2000	52	188	1	0	252	155	1	1500	pk		0	0	150	1000	20	50	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	204		0		0																																																																																																																																																																																																																								
骷髅碎骨兵	25		25	3	0	1024	0	2000	50	25	1	0	30000	25	1	1500	pk		0	0	150	15	10	40	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
骷髅战将	26		26	3	0	1025	0	2000	50	26	1	0	30000	26	1	1500	pk		0	0	150	15	10	40	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
红蛇	28		28	3	0	1027	0	2000	30	28	1	0	84	28	1	1500	pk		0	0	150	15	20	40	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
羽蛇王	30		30	3	0	1029	0	2000	45	30	1	0	21000	30	1	1500	pk		0	0	150	15	100	255	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
羽蛇	31		31	3	0	1030	0	2000	30	31	1	0	84	31	1	1500	pk		0	0	150	15	20	40	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
猪卫	32		32	3	0	1031	0	2000	50	32	1	0	120	32	1	1500	pk		0	0	150	1000	131	290	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	112		0		0																																																																																																																																																																																																																								
熊猫刺客	33		33	3	0	1032	0	2000	10	33	1	0	174	33	1	1500	pk		0	0	150	15	8	8	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
变异潮虫	34		34	3	0	1033	0	2000	38	34	1	0	120	34	1	1500	pk		0	0	150	15	23	47	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
熊猫巨人	36		36	3	0	1035	0	2000	10	36	1	0	174	36	1	1500	pk		0	0	150	15	7	7	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
血僵尸	37		37	3	0	1036	0	2000	40	37	1	0	78	37	1	1500	pk		0	0	80	200	131	290	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
巨钳蛛	38		38	3	0	1037	0	2000	53	38	1	0	300	38	1	1500	pk		0	0	150	15	60	120	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
符文石怪	39		39	3	0	1038	0	2000	10	39	1	0	174	39	1	1500	pk		0	0	150	15	9	19	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
大刀护卫	40		40	3	0	1039	0	2000	999	40	1	0	0	40	1	1500	pk		0	0	150	15	6500	20000	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
小贤	41		41	3	0	1040	0	2000	999	41	1	0	0	41	1	1500	pk		0	0	150	15	6500	20000	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
阿呆	42		42	3	0	1041	0	2000	999	42	1	0	0	42	1	1500	pk		0	0	150	15	6500	20000	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
石纹蛛	44		44	3	0	1043	0	2000	57	44	1	0	324	44	1	1500	pk		0	0	150	15	60	120	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
沙蛛	45		45	3	0	1044	0	2000	90	45	1	0	35000	45	1	1500	pk		0	0	150	15	1200	2000	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
黑藏蛛	46		46	3	0	1045	0	2000	50	46	1	0	348	46	1	1500	pk		0	0	150	15	60	120	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
红斑蛛	47		47	3	0	1046	0	2000	50	47	1	0	348	47	1	1500	pk		0	0	150	15	60	120	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
邪道僧精英	48		48	3	0	1047	0	2000	27	48	1	0	54	48	1	1500	pk		0	0	70	490	18	63	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	109		0		0																																																																																																																																																																																																																								
魔翼飞蛛	51		51	3	0	1050	0	2000	51	51	1	0	252	51	1	1500	pk		0	0	150	15	50	100	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
矿洞蝙蝠精英	52		52	3	0	1051	0	2000	22	52	1	0	54	52	1	1500	pk		0	0	150	15	20	35	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300	108		0		0																																																																																																																																																																																																																								
猛虎	57		57	3	0	1055	0	2000	60	57	1	0	50000	120	1	1500	pk		0	0	150	15	60	160	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
魔牙黑猪	58		58	3	0	1056	0	2000	43	58	1	0	132	57	1	1500	pk		0	0	150	15	23	47	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
红纹猪卫	59		59	3	0	1057	0	2000	45	59	1	0	144	58	1	1500	pk		0	0	150	15	23	47	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
弓箭护卫1	60		60	3	0	1058	0	2000	999	60	1	0	1	59	1	1500	pk		0	0	150	15	1000	3500	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
骷髅弓箭手	61		61	3	0	1059	0	2000	20	61	1	0	318	60	1	1500	pk		0	0	150	15	50	200	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
感染的老兵	62		62	3	0	1060	0	2000	20	62	1	0	324	61	1	1500	pk		0	0	150	15	80	170	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
狂斧骷5	63		63	3	0	1061	0	2000	45	63	1	0	13200	62	1	1500	pk		0	0	150	15	100	255	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
魔域犬人1	64		64	3	0	1062	0	2000	91	64	1	0	3960	63	1	1500	pk		0	0	150	15	4339	7679	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
暗影忍者1	65		65	3	0	1063	0	2000	91	65	1	0	3960	64	1	1500	pk		0	0	150	15	4339	7679	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
弓箭护卫	66		66	3	0	1064	0	2000	999	66	1	0	1	65	1	1500	pk		0	0	150	15	1000	3500	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
骰盅5	67		67	3	0	1065	0	2000	45	67	1	0	1440	66	1	1500	pk		0	0	150	15	130	220	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
摩萨弓箭手	68		68	3	0	1066	0	2000	45	68	1	0	138	67	1	1500	pk		0	0	150	15	50	100	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
雪域狂猪	69		69	3	0	1067	0	2000	94	69	1	0	4800	68	1	1500	pk		0	0	150	15	4482	6964	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
小雪人	70		70	3	0	1068	0	2000	94	70	1	0	4800	69	1	1500	pk		0	0	150	15	4482	6964	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
雪人王	71		71	3	0	1069	0	2000	120	71	1	0	48000	70	1	1500	pk		0	0	150	15	4480	6964	0	0	0	2	0	0	0	0	0	0	150	200	0.2	300			0		0																																																																																																																																																																																																																								
