编号	名称	图标	品质	内观	性别	是否可以批量使用	职业限制	等级限制	物品等级	拾取分类	羽化等级	物品类别	部位	耐久度	出售价格	叠加上限	持有类型	是否可丢弃	是否可销毁	力量需求	悟性需求	身法需求	根骨需求	经脉需求	CD时间	CD类别	掉落模型ID	模型ID	物攻下限	物攻上限	魔攻下限	魔攻上限	道攻下限	道攻上限	物防下限	物防上限	魔防下限	魔防上限	物免	魔免	命中	暴击	闪避	生命值	魔法值	默认值	随机属性组	目标类型	合法对象	使用成功率	附加功能ID	功能参数	功能数据	描述	掉落说明	使用说明	编辑器目录
03048	逍遥扇	items/46695	1	46695	2	0	4	40	40	5	0	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	4	17	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0						
03049	逍遥扇	items/46695	2	46695	2	0	4	40	40	5	0	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	7	28	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0						
03050	逍遥扇	items/46695	3	46695	2	0	4	40	40	5	0	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	10	40	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0						
03051	逍遥扇	items/46695	4	46695	2	0	4	40	40	5	0	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	12	51	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0						
03052	雷霸	items/41008	0	41008	2	0	1	60	60	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0						
03053	雷霸	items/41008	1	41008	2	0	1	60	60	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				5	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0						
03054	雷霸	items/41008	2	41008	2	0	1	60	60	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				9	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0						
03055	雷霸	items/41008	3	41008	2	0	1	60	60	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				13	53	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0						
03056	雷霸	items/41008	4	41008	2	0	1	60	60	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				17	69	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0						
03057	祈祷之杖	items/43338	0	43338	2	0	2	60	60	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0						
03058	祈祷之杖	items/43338	1	43338	2	0	2	60	60	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	5	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0						
03059	祈祷之杖	items/43338	2	43338	2	0	2	60	60	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	9	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0						
03060	祈祷之杖	items/43338	3	43338	2	0	2	60	60	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	13	53	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0						
03061	祈祷之杖	items/43338	4	43338	2	0	2	60	60	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	17	69	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0						
03062	无上道剑	items/46673	0	46673	2	0	4	60	60	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0						
03063	无上道剑	items/46673	1	46673	2	0	4	60	60	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	5	23	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0						
03064	无上道剑	items/46673	2	46673	2	0	4	60	60	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	9	38	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0						
03065	无上道剑	items/46673	3	46673	2	0	4	60	60	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	13	53	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0						
03066	无上道剑	items/46673	4	46673	2	0	4	60	60	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	17	69	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0						
03067	开天	items/41034	0	41034	2	0	1	70	70	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				3	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0						
03068	开天	items/41034	1	41034	2	0	1	70	70	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				7	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0						
03069	开天	items/41034	2	41034	2	0	1	70	70	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				12	48	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0						
03070	开天	items/41034	3	41034	2	0	1	70	70	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				16	67	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0						
03071	开天	items/41034	4	41034	2	0	1	70	70	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				21	86	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0						
03072	镇天魔刃	items/43364	0	43364	2	0	2	70	70	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	3	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0						
03073	镇天魔刃	items/43364	1	43364	2	0	2	70	70	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	7	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0						
03074	镇天魔刃	items/43364	2	43364	2	0	2	70	70	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	12	48	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0						
03075	镇天魔刃	items/43364	3	43364	2	0	2	70	70	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	16	67	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0						
03076	镇天魔刃	items/43364	4	43364	2	0	2	70	70	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	21	86	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0						
03077	玄天剑	items/46697	0	46697	2	0	4	70	70	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	3	14	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0						
03078	玄天剑	items/46697	1	46697	2	0	4	70	70	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	7	28	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0						
03079	玄天剑	items/46697	2	46697	2	0	4	70	70	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	12	48	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0						
03080	玄天剑	items/46697	3	46697	2	0	4	70	70	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	16	67	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0						
03081	玄天剑	items/46697	4	46697	2	0	4	70	70	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	21	86	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0						
03082	血天刃	items/41012	0	41012	2	0	1	80	80	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				4	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0						
03083	血天刃	items/41012	1	41012	2	0	1	80	80	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				8	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0						
03084	血天刃	items/41012	2	41012	2	0	1	80	80	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				14	57	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0						
03085	血天刃	items/41012	3	41012	2	0	1	80	80	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				20	80	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0						
03086	血天刃	items/41012	4	41012	2	0	1	80	80	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				25	103	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0						
03087	祈福仗	items/43344	0	43344	2	0	2	80	80	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	4	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0						
03088	祈福仗	items/43344	1	43344	2	0	2	80	80	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	8	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0						
03089	祈福仗	items/43344	2	43344	2	0	2	80	80	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	14	57	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0						
03090	祈福仗	items/43344	3	43344	2	0	2	80	80	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	20	80	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0						
03091	祈福仗	items/43344	4	43344	2	0	2	80	80	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	25	103	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0						
03092	鲛芒	items/46677	0	46677	2	0	4	80	80	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	4	17	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0						
03093	鲛芒	items/46677	1	46677	2	0	4	80	80	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	8	34	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0						
03094	鲛芒	items/46677	2	46677	2	0	4	80	80	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	14	57	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0						
03095	鲛芒	items/46677	3	46677	2	0	4	80	80	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	20	80	0	0	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0						
03096	鲛芒	items/46677	4	46677	2	0	4	80	80	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	25	103	0	0	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0						
03097	破魔之剑	items/41014	0	41014	2	0	1	90	90	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				5	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0						
03098	破魔之剑	items/41014	1	41014	2	0	1	90	90	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				11	46	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0						
03099	破魔之剑	items/41014	2	41014	2	0	1	90	90	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				19	76	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0						
03100	破魔之剑	items/41014	3	41014	2	0	1	90	90	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				26	107	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0						
03101	破魔之剑	items/41014	4	41014	2	0	1	90	90	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				34	138	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	7	0	0	0	0						
03102	冰啸	items/43346	0	43346	2	0	2	90	90	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	5	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0						
03103	冰啸	items/43346	1	43346	2	0	2	90	90	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	11	46	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0						
03104	冰啸	items/43346	2	43346	2	0	2	90	90	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	19	76	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0						
03105	冰啸	items/43346	3	43346	2	0	2	90	90	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	26	107	0	0	0	0	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0						
03106	冰啸	items/43346	4	43346	2	0	2	90	90	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	34	138	0	0	0	0	0	0	0	0	3	0	0	0	0	0	7	0	0	0	0						
03107	鳞幽刃	items/46679	0	46679	2	0	4	90	90	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	5	23	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0						
03108	鳞幽刃	items/46679	1	46679	2	0	4	90	90	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	11	46	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0						
03109	鳞幽刃	items/46679	2	46679	2	0	4	90	90	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	19	76	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0						
03110	鳞幽刃	items/46679	3	46679	2	0	4	90	90	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	26	107	0	0	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0						
03111	鳞幽刃	items/46679	4	46679	2	0	4	90	90	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	34	138	0	0	0	0	0	0	3	0	0	0	0	0	7	0	0	0	0						
03112	皇龙	items/41016	0	41016	2	0	1	100	100	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				7	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0						
03113	皇龙	items/41016	1	41016	2	0	1	100	100	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				14	57	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0						
03114	皇龙	items/41016	2	41016	2	0	1	100	100	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				24	96	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	8	0	0	0	0						
03115	皇龙	items/41016	3	41016	2	0	1	100	100	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				33	134	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	8	0	0	0	0						
03116	皇龙	items/41016	4	41016	2	0	1	100	100	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				43	172	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	8	0	0	0	0						
03117	翔羽杖	items/43348	0	43348	2	0	2	100	100	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	7	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0						
03118	翔羽杖	items/43348	1	43348	2	0	2	100	100	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	14	57	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0						
03119	翔羽杖	items/43348	2	43348	2	0	2	100	100	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	24	96	0	0	0	0	0	0	0	0	2	0	0	0	0	0	8	0	0	0	0						
03120	翔羽杖	items/43348	3	43348	2	0	2	100	100	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	33	134	0	0	0	0	0	0	0	0	3	0	0	0	0	0	8	0	0	0	0						
03121	翔羽杖	items/43348	4	43348	2	0	2	100	100	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	43	172	0	0	0	0	0	0	0	0	4	0	0	0	0	0	8	0	0	0	0						
03122	寒焰刃	items/46681	0	46681	2	0	4	100	100	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	7	28	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0						
03123	寒焰刃	items/46681	1	46681	2	0	4	100	100	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	14	57	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0						
03124	寒焰刃	items/46681	2	46681	2	0	4	100	100	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	24	96	0	0	0	0	0	0	2	0	0	0	0	0	8	0	0	0	0						
03125	寒焰刃	items/46681	3	46681	2	0	4	100	100	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	33	134	0	0	0	0	0	0	3	0	0	0	0	0	8	0	0	0	0						
03126	寒焰刃	items/46681	4	46681	2	0	4	100	100	5	1	2	3	55000	35000	1	0	1	1	0	0	0	0	0	0				0	0	0	0	43	172	0	0	0	0	0	0	4	0	0	0	0	0	8	0	0	0	0						
#时装武器																																																									
03127	极光之刃	items/49000	5	49000	2	0	0	60	60	6	0	2	8	55000	35000	1	0	1	1	0	0	0	0	0	0				43	172	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0						
03132	金蟾男	items/49002	5	49002	2	0	0	60	60	6	0	2	8	55000	35000	1	0	1	1	0	0	0	0	0	0				43	172	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0						
03137	恐惧之牙	items/49004	5	49004	2	0	0	60	60	6	0	2	8	55000	35000	1	0	1	1	0	0	0	0	0	0				43	172	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0						
03142	深海之鱼	items/49006	5	49006	2	0	0	60	60	6	0	2	8	55000	35000	1	0	1	1	0	0	0	0	0	0				43	172	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0						
03147	屠夫之心	items/49008	5	49008	2	0	0	60	60	6	0	2	8	55000	35000	1	0	1	1	0	0	0	0	0	0				43	172	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0						
#头盔																																																									
00000	青铜头盔	items/10000	0	10000	2	0	0	10	10	1	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0						
00001	青铜头盔	items/10000	1	10000	2	0	0	10	10	2	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0						
00002	青铜头盔	items/10000	2	10000	2	0	0	10	10	3	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	9	0	0	0	0						
00003	青铜头盔	items/10000	3	10000	2	0	0	10	10	4	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	9	0	0	0	0						
00004	青铜头盔	items/10000	4	10000	2	0	0	10	10	5	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	9	0	0	0	0						
00005	虎皮头盔	items/10001	0	10001	2	0	0	20	20	1	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0						
00006	虎皮头盔	items/10001	1	10001	2	0	0	20	20	2	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	9	0	0	0	0						
00007	虎皮头盔	items/10001	2	10001	2	0	0	20	20	3	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	9	0	0	0	0						
00008	虎皮头盔	items/10001	3	10001	2	0	0	20	20	4	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	9	0	0	0	0						
00009	虎皮头盔	items/10001	4	10001	2	0	0	20	20	5	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	9	0	0	0	0						
00010	黑铁头盔	items/10002	0	10002	2	0	0	30	30	1	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0						
00011	黑铁头盔	items/10002	1	10002	2	0	0	30	30	2	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	9	0	0	0	0						
00012	黑铁头盔	items/10002	2	10002	2	0	0	30	30	3	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	9	0	0	0	0						
00013	黑铁头盔	items/10002	3	10002	2	0	0	30	30	4	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	0	0	9	0	0	0	0						
00014	黑铁头盔	items/10002	4	10002	2	0	0	30	30	5	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	1	5	0	0	0	0	0	0	0	0	9	0	0	0	0						
00015	圣战头盔	items/10003	0	10003	2	0	1	40	40	1	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0						
00016	圣战头盔	items/10003	1	10003	2	0	1	40	40	2	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0						
00017	圣战头盔	items/10003	2	10003	2	0	1	40	40	3	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0						
00018	圣战头盔	items/10003	3	10003	2	0	1	40	40	4	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0						
00019	圣战头盔	items/10003	4	10003	2	0	1	40	40	5	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	1	7	0	2	0	0	0	0	0	0	0	0	10	0	0	0	0						
00020	法神头盔	items/10004	0	10004	2	0	2	40	40	1	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0						
00021	法神头盔	items/10004	1	10004	2	0	2	40	40	2	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	10	0	0	0	0						
00022	法神头盔	items/10004	2	10004	2	0	2	40	40	3	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	10	0	0	0	0						
00023	法神头盔	items/10004	3	10004	2	0	2	40	40	4	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	1	2	1	4	0	0	0	0	0	0	0	0	10	0	0	0	0						
00024	法神头盔	items/10004	4	10004	2	0	2	40	40	5	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	1	3	1	6	0	0	0	0	0	0	0	0	10	0	0	0	0						
00025	天尊头盔	items/10005	0	10005	2	0	4	40	40	1	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0						
00026	天尊头盔	items/10005	1	10005	2	0	4	40	40	2	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	10	0	0	0	0						
00027	天尊头盔	items/10005	2	10005	2	0	4	40	40	3	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	10	0	0	0	0						
00028	天尊头盔	items/10005	3	10005	2	0	4	40	40	4	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	1	2	1	4	0	0	0	0	0	0	0	0	10	0	0	0	0						
00029	天尊头盔	items/10005	4	10005	2	0	4	40	40	5	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	1	3	1	5	0	0	0	0	0	0	0	0	10	0	0	0	0						
00030	百战头盔	items/10006	0	10006	2	0	1	60	60	1	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0						
00031	百战头盔	items/10006	1	10006	2	0	1	60	60	2	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0						
00032	百战头盔	items/10006	2	10006	2	0	1	60	60	3	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	11	0	0	0	0						
00033	百战头盔	items/10006	3	10006	2	0	1	60	60	4	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	11	0	0	0	0						
00034	百战头盔	items/10006	4	10006	2	0	1	60	60	5	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	1	9	0	2	0	0	0	0	0	0	0	0	11	0	0	0	0						
00035	苍羽头盔	items/10007	0	10007	2	0	2	60	60	1	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0	0	0	0						
00036	苍羽头盔	items/10007	1	10007	2	0	2	60	60	2	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	11	0	0	0	0						
00037	苍羽头盔	items/10007	2	10007	2	0	2	60	60	3	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	11	0	0	0	0						
00038	苍羽头盔	items/10007	3	10007	2	0	2	60	60	4	0	1	0	23000	6500	1	0	1	1	0	0	0	0	0	0				0	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0	0	11	0	0	0	0						
